actor,category,field_key,label,type,required,description,example,options,upload
LIQUIDITY_PROVIDER,Preferences,excluded_industries,Excluded Industries,array,False,Industries not allowed,"[""Gambling"",""Weapons""]",,False
LIQUIDITY_PROVIDER,Wallet,evm_address,Funding Wallet Address (0x…),address_eth,True,Wallet to fund vaults,0x3333333333333333333333333333333333333333,,False
LIQUIDITY_PROVIDER,Wallet,wallet_type,Wallet Type,enum,True,Embedded (Privy) or External,external,embedded|external,False
LIQUIDITY_PROVIDER,Documents,kyb_docs,KYB Documents (org) or ID (individual),file,True,Company docs or passport/ID,,,True
LIQUIDITY_PROVIDER,Documents,aml_policy,AML Policy (if organization),file,False,PDF of AML program,,,True
LIQUIDITY_PROVIDER,Documents,proof_of_address,Proof of Address (<=3 months),file,True,Utility bill/bank statement,,,True
LIQUIDITY_PROVIDER,Documents,so_funds_evidence,Source of Funds Evidence,file,False,"Bank letter, statements, auditor letter",,,True
LIQUIDITY_PROVIDER,Consents,consent_data_processing,Consent to Data Processing,boolean,True,Agree to data policy,true,,False
LIQUIDITY_PROVIDER,Consents,consent_aml_screening,Consent to AML Screening,boolean,True,Authorize checks,true,,False
LIQUIDITY_PROVIDER,Consents,agree_terms,Agree to Terms of Service,boolean,True,Accept platform ToS,true,,False
LIQUIDITY_PROVIDER,Consents,electronic_signature,Electronic Signature,string,True,Typed full name,ALEX JOHNSON,,False
